season,id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
2023-24,1,Arsenal,ARS,5,1350,1365,1370,1370,1330,1360
2023-24,2,Aston Villa,AVL,4,1160,1285,1140,1220,1180,1350
2023-24,3,Bournemouth,BOU,3,1100,1100,1055,1130,1145,1075
2023-24,4,Brentford,BRE,3,1100,1100,1110,1055,1090,1150
2023-24,5,Brighton,BHA,3,1100,1210,1070,1180,1135,1240
2023-24,6,Burnley,BUR,2,1045,1050,1050,1050,1040,1050
2023-24,7,Chelsea,CHE,3,1125,1190,1080,1150,1170,1230
2023-24,8,Crystal Palace,CRY,3,1070,1100,1080,1120,1060,1085
2023-24,9,Everton,EVE,3,1095,1100,1125,1125,1065,1080
2023-24,10,Fulham,FUL,3,1055,1175,1050,1180,1060,1170
2023-24,11,Liverpool,LIV,4,1240,1370,1210,1350,1270,1390
2023-24,12,Luton,LUT,2,1055,1090,1020,1060,1090,1120
2023-24,13,Man City,MCI,5,1355,1365,1350,1360,1360,1370
2023-24,14,Man Utd,MUN,3,1125,1220,1130,1210,1120,1230
2023-24,15,Newcastle,NEW,3,1105,1280,1050,1210,1160,1355
2023-24,16,Nott'm Forest,NFO,3,1065,1100,1050,1125,1080,1080
2023-24,17,Sheffield Utd,SHU,2,1030,1040,1045,1020,1020,1060
2023-24,18,Spurs,TOT,4,1170,1230,1110,1150,1230,1310
2023-24,19,West Ham,WHU,3,1100,1145,1055,1140,1150,1150
2023-24,20,Wolves,WOL,3,1100,1100,1085,1105,1115,1100
