season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2024-25,17,1,Fábio Ferreira Vieira,MID,Arsenal,1,7,0,2024-12-21T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2024-25,17,2,Gabriel Fernando de Jesus,FWD,Arsenal,1,7,0,2024-12-21T17:30:00Z,85,16,2,1,0,1,3,68,74.6,3.3,62.0,14.0,0.82,0.01,0.83,1.55,1,67
2024-25,17,3,Gabriel dos Santos Magalhães,DEF,Arsenal,1,7,0,2024-12-21T17:30:00Z,90,4,0,1,0,1,0,13,22.2,10.9,17.0,5.0,0.39,0.01,0.4,1.59,1,62
2024-25,17,4,Kai Havertz,FWD,Arsenal,1,7,0,2024-12-21T17:30:00Z,57,6,1,0,0,1,1,34,42.4,13.2,37.0,9.3,0.88,0.01,0.89,1.53,1,79
2024-25,17,5,Karl Hein,GK,Arsenal,1,7,0,2024-12-21T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2024-25,17,6,Jurriën Timber,DEF,Arsenal,1,7,0,2024-12-21T17:30:00Z,85,1,0,0,0,1,0,6,7.0,2.7,4.0,1.4,0.0,0.02,0.02,1.55,1,57
2024-25,17,7,Jorge Luiz Frello Filho,MID,Arsenal,1,7,0,2024-12-21T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47
2024-25,17,8,Jakub Kiwior,DEF,Arsenal,1,7,0,2024-12-21T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48
2024-25,17,9,Gabriel Martinelli Silva,MID,Arsenal,1,7,0,2024-12-21T17:30:00Z,90,7,1,0,0,1,0,30,50.8,47.6,53.0,15.1,0.66,0.53,1.19,1.59,1,67
2024-25,17,10,Reiss Nelson,MID,Fulham,9,17,1,2024-12-22T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
